NARKO	PŁEĆ	WIEK	PZR	PZ	PS	WW
tak	m	20	24	23	38	22
tak	m	17	21	23	30	19
tak	m	17	33	29	25	22
tak	m	19	43	56	49	34
tak	k	17	52	37	33	27
tak	k	18	44	43	30	27
tak	k	19	32	34	23	24
tak	m	22	36	29	28	26
tak	k	20	44	28	30	27
tak	m	17	28	33	25	21
tak	m	17	28	24	21	17
tak	k	19	49	46	29	26
tak	k	18	52	50	45	31
tak	k	17	38	33	31	24
tak	m	17	29	23	28	21
tak	m	19	42	37	30	26
tak	m	17	61	51	50	31
tak	m	18	48	27	45	25
tak	m	17	38	30	29	23
tak	m	19	46	40	38	27
tak	m	18	36	27	28	24
tak	m	18	28	37	30	24
tak	m	17	30	22	25	20
tak	k	19	34	38	33	26
tak	m	21	37	27	31	20
tak	k	18	36	36	37	22
tak	m	17	50	57	45	30
tak	m	19	58	54	50	29
tak	k	19	37	32	29	21
tak	m	17	29	25	37	19
nie	m	17	44	25	30	27
nie	m	17	29	30	27	27
nie	m	17	39	32	35	23
nie	m	18	48	36	35	29
nie	m	18	27	20	31	19
nie	k	20	27	19	43	21
nie	k	17	53	45	45	34
nie	m	19	40	31	35	29
nie	m	19	39	30	40	29
nie	m	20	42	32	37	28
nie	k	19	28	25	27	22
nie	k	17	52	41	38	30
nie	k	19	57	34	45	32
nie	k	18	43	38	37	26
nie	m	18	42	31	39	28
nie	k	18	28	23	23	19
nie	m	18	39	55	44	32
nie	m	17	60	58	49	36
nie	m	20	37	28	27	24
nie	m	19	53	42	47	35
nie	k	19	53	46	41	32
nie	k	17	62	63	49	37
nie	m	20	53	42	47	34
nie	k	19	64	48	50	32
nie	k	19	49	39	37	29
nie	k	19	24	27	30	24
nie	k	18	60	54	43	33
nie	m	17	35	37	32	23
nie	m	17	68	60	49	36
nie	k	20	48	41	39	29
