NARKO	PŁEĆ	WIEK	PZR	PZ	PS	WW
tak	m	20	24	23	38	22
tak	m	17	NA	23	30	19
tak	m	17	33	NA	NA	22
tak	m	19	43	56	49	34
tak	k	17	52	NA	33	NA
tak	k	18	44	NA	30	27
tak	k	NA	32	34	23	24
tak	m	22	36	29	NA	26
tak	k	20	44	28	30	27
tak	m	17	28	33	25	21
tak	m	17	28	NA	21	17
tak	k	19	49	NA	29	26
tak	k	18	52	50	45	NA
tak	k	17	38	33	NA	24
tak	m	17	29	NA	28	NA
tak	m	NA	42	37	NA	NA
tak	m	17	61	51	50	31
tak	m	18	NA	27	NA	25
tak	m	17	38	30	29	23
tak	m	19	46	40	38	NA
tak	m	18	36	27	28	24
tak	m	18	28	37	30	NA
tak	m	17	30	22	25	20
tak	k	NA	34	NA	33	26
tak	m	NA	37	27	31	NA
tak	k	18	NA	36	37	22
tak	m	17	50	NA	NA	30
tak	m	19	NA	54	50	29
tak	k	NA	37	32	29	NA
tak	m	17	29	25	37	19
nie	m	17	NA	25	30	27
nie	m	17	NA	NA	27	NA
nie	m	17	NA	32	35	23
nie	m	18	48	36	35	29
nie	m	18	27	20	NA	19
nie	k	NA	27	NA	NA	21
nie	k	17	NA	45	45	34
nie	m	19	40	31	NA	29
nie	m	19	NA	30	40	29
nie	m	20	42	32	37	28
nie	k	19	28	25	NA	22
nie	k	NA	NA	NA	38	NA
nie	k	19	57	34	45	32
nie	k	18	43	38	37	26
nie	m	18	NA	31	39	28
nie	k	18	28	23	23	19
nie	m	18	39	55	NA	32
nie	m	17	NA	58	NA	36
nie	m	20	NA	28	27	24
nie	m	19	53	42	47	35
nie	k	19	53	NA	41	32
nie	k	17	62	63	49	37
nie	m	20	53	42	NA	34
nie	k	19	64	48	50	NA
nie	k	NA	49	39	NA	29
nie	k	19	24	NA	30	24
nie	k	18	NA	54	43	33
nie	m	17	NA	37	32	23
nie	m	17	68	NA	49	36
nie	k	20	NA	NA	39	29
