"NARKO" "PŁEĆ" "WIEK" "PZR" "PZ" "PS" "WW"
"tak" "m" 20 24 23 38 22
"tak" "m" 17 27.7517920524608 23 30 19
"tak" "m" 17 33 36.5144861084638 36.1301523507259 22
"tak" "m" 19 43 56 49 34
"tak" "k" 17 52 36.7587787332803 33 27.3944826203268
"tak" "k" 18 44 34.2264782521178 30 27
"tak" "k" 18 32 34 23 24
"tak" "m" 22 36 29 35.4741811018429 26
"tak" "k" 20 44 28 30 27
"tak" "m" 17 28 33 25 21
"tak" "m" 17 28 21.3060638147763 21 17
"tak" "k" 19 49 22.1104389121023 29 26
"tak" "k" 18 52 50 45 31.3063791552165
"tak" "k" 17 38 33 26.6836256079184 24
"tak" "m" 17 29 24.6889933920797 28 21.2404900452338
"tak" "m" 19 42 37 33.1530622494719 25.3664271906165
"tak" "m" 17 61 51 50 31
"tak" "m" 18 47.2107165182978 27 33.0596016645448 25
"tak" "m" 17 38 30 29 23
"tak" "m" 19 46 40 38 30.1199131502987
"tak" "m" 18 36 27 28 24
"tak" "m" 18 28 37 30 22.5181718339147
"tak" "m" 17 30 22 25 20
"tak" "k" 19 34 35.8959004515334 33 26
"tak" "m" 18 37 27 31 23.6117827550413
"tak" "k" 18 26.7651875527382 36 37 22
"tak" "m" 17 50 53.3290996160008 50.5711394515107 30
"tak" "m" 19 35.1041466625404 54 50 29
"tak" "k" 18 37 32 29 22.117498871074
"tak" "m" 17 29 25 37 19
"nie" "m" 17 47.0332249436848 25 30 27
"nie" "m" 17 34.7087729437577 23.027267290983 27 21.2148494911461
"nie" "m" 17 37.6962069105352 32 35 23
"nie" "m" 18 48 36 35 29
"nie" "m" 18 27 20 25.7388658862585 19
"nie" "k" 19 27 26.9528895407902 27.1996548384612 21
"nie" "k" 17 60.1327105141802 45 45 34
"nie" "m" 19 40 31 37.473375358258 29
"nie" "m" 19 50.2879260054603 30 40 29
"nie" "m" 20 42 32 37 28
"nie" "k" 19 28 25 24.5298911775816 22
"nie" "k" 17 46.4200632453026 35.5817764864787 38 28.6691157857055
"nie" "k" 19 57 34 45 32
"nie" "k" 18 43 38 37 26
"nie" "m" 18 43.9672385775769 31 39 28
"nie" "k" 18 28 23 23 19
"nie" "m" 18 39 55 39.7892324538859 32
"nie" "m" 17 53.3255913389704 58 47.3310713312241 36
"nie" "m" 20 25.731667073191 28 27 24
"nie" "m" 19 53 42 47 35
"nie" "k" 19 53 37.0499249683695 41 32
"nie" "k" 17 62 63 49 37
"nie" "m" 20 53 42 48.6247186601737 34
"nie" "k" 19 64 48 50 37.7944626854501
"nie" "k" 19 49 39 40.1103327672151 29
"nie" "k" 19 24 35.2132130045423 30 24
"nie" "k" 18 49.560468757629 54 43 33
"nie" "m" 17 29.6617261903044 37 32 23
"nie" "m" 17 68 52.3010885176306 49 36
"nie" "k" 20 44.6411299847705 32.8962895712867 39 29
