"NARKO" "PŁEĆ" "WIEK" "PZR" "PZ" "PS" "WW"
"tak" "m" 20 24 23 38 22
"tak" "m" 17 29.018837535014 23 30 19
"tak" "m" 17 33 29.2469920634921 29.0833333333333 22
"tak" "m" 19 43 56 49 34
"tak" "k" 17 52 37.16 33 27.1092222222222
"tak" "k" 18 44 33.0016666666667 30 27
"tak" "k" 18.0566666666667 32 34 23 24
"tak" "m" 22 36 29 30.421 26
"tak" "k" 20 44 28 30 27
"tak" "m" 17 28 33 25 21
"tak" "m" 17 28 25.4286111111111 21 17
"tak" "k" 19 49 34.1333333333333 29 26
"tak" "k" 18 52 50 45 32.328380952381
"tak" "k" 17 38 33 29.993 24
"tak" "m" 17 29 29.1369920634921 28 21.6376111111111
"tak" "m" 18.2466666666667 42 37 32.66275 26.9905
"tak" "m" 17 61 51 50 31
"tak" "m" 18 34.7675042016807 27 29.7295833333333 25
"tak" "m" 17 38 30 29 23
"tak" "m" 19 46 40 38 28.9258333333333
"tak" "m" 18 36 27 28 24
"tak" "m" 18 28 37 30 22.6015
"tak" "m" 17 30 22 25 20
"tak" "k" 18.4241666666667 34 33.8737142857143 33 26
"tak" "m" 19.1183333333333 37 27 31 25.24
"tak" "k" 18 34.4936666666667 36 37 22
"tak" "m" 17 50 37.8727777777778 37.655 30
"tak" "m" 19 51.5634803921569 54 50 29
"tak" "k" 17.8925 37 32 29 24.3405
"tak" "m" 17 29 25 37 19
"nie" "m" 17 39.2025 25 30 27
"nie" "m" 17 32.2991666666667 29.3087777777778 27 22.9133333333333
"nie" "m" 17 34.4191666666667 32 35 23
"nie" "m" 18 48 36 35 29
"nie" "m" 18 27 20 26.0189047619048 19
"nie" "k" 18.1983333333333 27 25.29 25.8289047619048 21
"nie" "k" 17 55.9844047619048 45 45 34
"nie" "m" 19 40 31 37.4425 29
"nie" "m" 19 42.7666666666667 30 40 29
"nie" "m" 20 42 32 37 28
"nie" "k" 19 28 25 29.1615714285714 22
"nie" "k" 18.7525 47.97 37.1041666666667 38 28.3204285714286
"nie" "k" 19 57 34 45 32
"nie" "k" 18 43 38 37 26
"nie" "m" 18 42.1166666666667 31 39 28
"nie" "k" 18 28 23 23 19
"nie" "m" 18 39 55 43.1383333333333 32
"nie" "m" 17 60.636 58 47.921 36
"nie" "m" 20 32.8945 28 27 24
"nie" "m" 19 53 42 47 35
"nie" "k" 19 53 39.5153333333333 41 32
"nie" "k" 17 62 63 49 37
"nie" "m" 20 53 42 44.8 34
"nie" "k" 19 64 48 50 33.7194047619048
"nie" "k" 18.8275 49 39 38.5533333333333 29
"nie" "k" 19 24 26.625 30 24
"nie" "k" 18 50.2683333333333 54 43 33
"nie" "m" 17 35.37 37 32 23
"nie" "m" 17 68 56.28 49 36
"nie" "k" 20 48.044 35.4133333333333 39 29
